theta	dsigma
0	4373.99
0.0174533	4352.63
0.0349066	4289.63
0.0523599	4188.12
0.0698132	4053.02
0.0872665	3890.66
0.10472	3708.18
0.122173	3513.06
0.139626	3312.51
0.15708	3112.96
0.174533	2919.74
0.191986	2736.74
0.20944	2566.38
0.226893	2409.63
0.244346	2266.15
0.261799	2134.6
0.279253	2012.96
0.296706	1898.83
0.314159	1789.83
0.331613	1683.78
0.349066	1578.99
0.366519	1474.32
0.383972	1369.26
0.401426	1263.85
0.418879	1158.66
0.436332	1054.6
0.453786	952.821
0.471239	854.554
0.488692	761.005
0.506145	673.254
0.523599	592.186
0.541052	518.457
0.558505	452.486
0.575959	394.461
0.593412	344.363
0.610865	301.996
0.628319	267.015
0.645772	238.955
0.663225	217.253
0.680678	201.267
0.698132	190.294
0.715585	183.581
0.733038	180.346
0.750492	179.788
0.767945	181.109
0.785398	183.534
0.802851	186.336
0.820305	188.855
0.837758	190.519
0.855211	190.86
0.872665	189.531
0.890118	186.305
0.907571	181.082
0.925025	173.878
0.942478	164.818
0.959931	154.117
0.977384	142.066
0.994838	129.01
1.01229	115.329
1.02974	101.42
1.0472	87.6771
1.06465	74.4821
1.0821	62.1889
1.09956	51.1158
1.11701	41.5388
1.13446	33.6882
1.15192	27.7456
1.16937	23.8439
1.18682	22.068
1.20428	22.4561
1.22173	25.0017
1.23918	29.6564
1.25664	36.3326
1.27409	44.9058
1.29154	55.2182
1.309	67.0813
1.32645	80.2793
1.3439	94.5721
1.36136	109.699
1.37881	125.384
1.39626	141.335
1.41372	157.256
1.43117	172.845
1.44862	187.802
1.46608	201.836
1.48353	214.667
1.50098	226.037
1.51844	235.709
1.53589	243.479
1.55334	249.178
1.5708	252.679
1.58825	253.897
1.6057	252.798
1.62316	249.395
1.64061	243.755
1.65806	235.995
1.67552	226.282
1.69297	214.829
1.71042	201.894
1.72788	187.769
1.74533	172.781
1.76278	157.28
1.78024	141.631
1.79769	126.21
1.81514	111.387
1.8326	97.5265
1.85005	84.9713
1.8675	74.0379
1.88496	65.0075
1.90241	58.1186
1.91986	53.5615
1.93732	51.4728
1.95477	51.9315
1.97222	54.9568
1.98968	60.5067
2.00713	68.4786
2.02458	78.7105
2.04204	90.9845
2.05949	105.031
2.07694	120.535
2.0944	137.142
2.11185	154.465
2.1293	172.095
2.14675	189.609
2.16421	206.58
2.18166	222.587
2.19911	237.223
2.21657	250.109
2.23402	260.898
2.25147	269.287
2.26893	275.026
2.28638	277.922
2.30383	277.846
2.32129	274.74
2.33874	268.617
2.35619	259.565
2.37365	247.747
2.3911	233.399
2.40855	216.829
2.42601	198.412
2.44346	178.583
2.46091	157.832
2.47837	136.695
2.49582	115.744
2.51327	95.5766
2.53073	76.8069
2.54818	60.0511
2.56563	45.9167
2.58309	34.9906
2.60054	27.8265
2.61799	24.9336
2.63545	26.7653
2.6529	33.7092
2.67035	46.0776
2.68781	64.0994
2.70526	87.9138
2.72271	117.565
2.74017	152.998
2.75762	194.06
2.77507	240.494
2.79253	291.949
2.80998	347.977
2.82743	408.041
2.84489	471.524
2.86234	537.734
2.87979	605.917
2.89725	675.266
2.9147	744.939
2.93215	814.063
2.94961	881.756
2.96706	947.139
2.98451	1009.35
3.00197	1067.55
3.01942	1120.96
3.03687	1168.85
3.05433	1210.56
3.07178	1245.51
3.08923	1273.21
3.10669	1293.28
3.12414	1305.43
3.14159	1309.51
