E	sigma
0.5	9234.97
1	8699.29
1.5	7144.49
2	5651.03
2.5	4445.93
3	3551.63
3.5	2936.89
4	2560.26
4.5	2385.84
5	2387.73
5.5	2545.04
6	2828.3
6.5	3187.94
7	3560.72
7.5	3893.21
8	4160.04
8.5	4365.62
9	4543.93
9.5	4789.57
10	5404.94
10.5	6971.37
11	7547.97
11.5	6515.16
12	5783.15
12.5	5346.25
13	5046.95
13.5	4812.81
14	4612.37
14.5	4431.55
15	4264.38
15.5	4109.15
16	3966.79
16.5	3840.13
17	3733.38
17.5	3651.6
18	3599.82
18.5	3581.6
19	3596.92
19.5	3640.12
20	3698.92
20.5	3756.16
21	3794.32
21.5	3800.92
22	3771.54
22.5	3709.41
23	3622.46
23.5	3520.07
24	3410.88
24.5	3301.79
25	3197.84
25.5	3102.44
26	3017.71
26.5	2944.87
27	2884.42
27.5	2836.35
28	2800.24
28.5	2775.39
29	2760.83
29.5	2755.48
30	2758.15
30.5	2767.64
31	2782.76
31.5	2802.43
32	2825.67
32.5	2851.63
33	2879.59
33.5	2908.99
34	2939.4
34.5	2970.51
35	3002.13
35.5	3034.16
36	3066.56
36.5	3099.34
37	3132.57
37.5	3166.3
38	3200.57
38.5	3235.43
39	3270.9
39.5	3306.94
40	3343.53
40.5	3380.59
41	3418.03
41.5	3455.75
42	3493.63
42.5	3531.56
43	3569.41
43.5	3607.08
44	3644.44
44.5	3681.4
45	3717.87
45.5	3753.75
46	3788.96
46.5	3823.42
47	3857.06
47.5	3889.81
48	3921.62
48.5	3952.42
49	3982.16
49.5	4010.8
50	4038.3
