theta	dsigma
0	29596.1
0.0174533	28063
0.0349066	23963.6
0.0523599	18578.5
0.0698132	13424.5
0.0872665	9656.93
0.10472	7698.15
0.122173	7234
0.139626	7520.32
0.15708	7800.2
0.174533	7616.58
0.191986	6902.46
0.20944	5869.02
0.226893	4806.05
0.244346	3919.45
0.261799	3271.33
0.279253	2813.51
0.296706	2459.68
0.314159	2142.73
0.331613	1834.52
0.349066	1536.35
0.366519	1261.28
0.383972	1022.9
0.401426	832.237
0.418879	696.987
0.436332	618.699
0.453786	589.1
0.471239	589.719
0.488692	597.025
0.506145	590.889
0.523599	561.512
0.541052	511.111
0.558505	450.185
0.575959	391.27
0.593412	343.719
0.610865	311.421
0.628319	293.254
0.645772	284.89
0.663225	280.72
0.680678	275.391
0.698132	264.998
0.715585	247.905
0.733038	224.988
0.750492	199.077
0.767945	173.714
0.785398	151.754
0.802851	134.436
0.820305	121.286
0.837758	110.761
0.855211	101.164
0.872665	91.3751
0.890118	81.1205
0.907571	70.8294
0.925025	61.2853
0.942478	53.2711
0.959931	47.319
0.977384	43.5781
0.994838	41.7822
1.01229	41.3112
1.02974	41.3418
1.0472	41.0648
1.06465	39.904
1.0821	37.6575
1.09956	34.5067
1.11701	30.8964
1.13446	27.3439
1.15192	24.2594
1.16937	21.8427
1.18682	20.0747
1.20428	18.7832
1.22173	17.7371
1.23918	16.7299
1.25664	15.6295
1.27409	14.3929
1.29154	13.0552
1.309	11.7045
1.32645	10.4501
1.3439	9.39098
1.36136	8.58882
1.37881	8.05126
1.39626	7.73039
1.41372	7.53729
1.43117	7.36814
1.44862	7.13355
1.46608	6.78113
1.48353	6.30477
1.50098	5.73906
1.51844	5.14281
1.53589	4.57869
1.55334	4.09582
1.5708	3.71996
1.58825	3.45211
1.6057	3.27377
1.62316	3.15539
1.64061	3.06515
1.65806	2.9756
1.67552	2.86776
1.69297	2.7326
1.71042	2.57045
1.72788	2.38919
1.74533	2.20134
1.76278	2.02097
1.78024	1.86053
1.79769	1.72837
1.81514	1.62735
1.8326	1.55469
1.85005	1.5032
1.8675	1.46321
1.88496	1.42492
1.90241	1.38043
1.91986	1.32508
1.93732	1.25783
1.95477	1.18089
1.97222	1.09867
1.98968	1.01652
2.00713	0.939544
2.02458	0.871618
2.04204	0.814921
2.05949	0.7698
2.07694	0.735005
2.0944	0.708149
2.11185	0.68626
2.1293	0.666321
2.14675	0.645723
2.16421	0.622571
2.18166	0.595831
2.19911	0.565333
2.21657	0.53166
2.23402	0.495956
2.25147	0.459696
2.26893	0.424471
2.28638	0.391784
2.30383	0.362901
2.32129	0.338753
2.33874	0.319888
2.35619	0.306459
2.37365	0.29826
2.3911	0.29477
2.40855	0.295224
2.42601	0.298684
2.44346	0.30411
2.46091	0.310431
2.47837	0.316608
2.49582	0.321679
2.51327	0.32481
2.53073	0.325316
2.54818	0.322692
2.56563	0.31662
2.58309	0.306976
2.60054	0.29383
2.61799	0.277439
2.63545	0.258239
2.6529	0.236829
2.67035	0.213957
2.68781	0.190498
2.70526	0.167429
2.72271	0.145801
2.74017	0.126704
2.75762	0.11123
2.77507	0.10043
2.79253	0.0952651
2.80998	0.0965655
2.82743	0.104981
2.84489	0.120943
2.86234	0.144631
2.87979	0.175949
2.89725	0.214511
2.9147	0.259649
2.93215	0.31042
2.94961	0.365636
2.96706	0.423903
2.98451	0.483665
3.00197	0.543262
3.01942	0.600987
3.03687	0.655147
3.05433	0.704125
3.07178	0.746437
3.08923	0.780788
3.10669	0.806117
3.12414	0.821638
3.14159	0.826866
