r	V(r)
0	-49.9592
0.1	-49.955
0.2	-49.9502
0.3	-49.9446
0.4	-49.9383
0.5	-49.9311
0.6	-49.9229
0.7	-49.9135
0.8	-49.9028
0.9	-49.8905
1	-49.8765
1.1	-49.8606
1.2	-49.8423
1.3	-49.8215
1.4	-49.7977
1.5	-49.7705
1.6	-49.7395
1.7	-49.7042
1.8	-49.6638
1.9	-49.6178
2	-49.5653
2.1	-49.5055
2.2	-49.4373
2.3	-49.3596
2.4	-49.2712
2.5	-49.1705
2.6	-49.0559
2.7	-48.9257
2.8	-48.7777
2.9	-48.6098
3	-48.4192
3.1	-48.2033
3.2	-47.959
3.3	-47.6828
3.4	-47.3712
3.5	-47.02
3.6	-46.625
3.7	-46.1817
3.8	-45.6855
3.9	-45.1313
4	-44.5144
4.1	-43.8297
4.2	-43.0728
4.3	-42.2392
4.4	-41.3255
4.5	-40.3286
4.6	-39.2468
4.7	-38.0797
4.8	-36.8283
4.9	-35.4954
5	-34.0858
5.1	-32.6063
5.2	-31.0656
5.3	-29.4742
5.4	-27.8443
5.5	-26.1896
5.6	-24.5242
5.7	-22.8631
5.8	-21.2207
5.9	-19.6109
6	-18.0467
6.1	-16.5393
6.2	-15.0984
6.3	-13.7314
6.4	-12.444
6.5	-11.2399
6.6	-10.121
6.7	-9.08726
6.8	-8.13758
6.9	-7.26951
7	-6.47971
7.1	-5.76413
7.2	-5.11829
7.3	-4.53738
7.4	-4.0165
7.5	-3.55075
7.6	-3.13532
7.7	-2.7656
7.8	-2.43721
7.9	-2.14604
8	-1.88828
8.1	-1.6604
8.2	-1.45919
8.3	-1.28171
8.4	-1.12532
8.5	-0.987627
8.6	-0.866482
8.7	-0.759966
8.8	-0.666366
8.9	-0.584158
9	-0.511986
9.1	-0.44865
9.2	-0.393087
9.3	-0.344358
9.4	-0.301632
9.5	-0.264179
9.6	-0.231355
9.7	-0.202593
9.8	-0.177394
9.9	-0.155319
10	-0.135984
10.1	-0.11905
10.2	-0.10422
10.3	-0.0912345
10.4	-0.0798642
10.5	-0.0699089
10.6	-0.0611931
10.7	-0.0535628
10.8	-0.046883
10.9	-0.0410355
11	-0.0359169
11.1	-0.0314363
11.2	-0.0275144
11.3	-0.0240815
11.4	-0.0210768
11.5	-0.0184468
11.6	-0.0161449
11.7	-0.0141301
11.8	-0.0123668
11.9	-0.0108234
12	-0.0094726
12.1	-0.00829036
12.2	-0.00725565
12.3	-0.00635007
12.4	-0.0055575
12.5	-0.00486384
12.6	-0.00425676
12.7	-0.00372544
12.8	-0.00326044
12.9	-0.00285347
13	-0.0024973
13.1	-0.00218558
13.2	-0.00191277
13.3	-0.00167402
13.4	-0.00146506
13.5	-0.00128219
13.6	-0.00112214
13.7	-0.000982069
13.8	-0.000859483
13.9	-0.000752198
14	-0.000658305
14.1	-0.000576132
14.2	-0.000504216
14.3	-0.000441277
14.4	-0.000386194
14.5	-0.000337987
14.6	-0.000295798
14.7	-0.000258874
14.8	-0.00022656
14.9	-0.000198279
15	-0.000173529
15.1	-0.000151868
15.2	-0.000132911
15.3	-0.00011632
15.4	-0.0001018
15.5	-8.90929e-05
15.6	-7.79718e-05
15.7	-6.82388e-05
15.8	-5.97208e-05
15.9	-5.22661e-05
16	-4.57419e-05
16.1	-4.00321e-05
16.2	-3.5035e-05
16.3	-3.06617e-05
16.4	-2.68343e-05
16.5	-2.34847e-05
16.6	-2.05532e-05
16.7	-1.79876e-05
16.8	-1.57422e-05
16.9	-1.37772e-05
17	-1.20574e-05
17.1	-1.05523e-05
17.2	-9.23513e-06
17.3	-8.08234e-06
17.4	-7.07345e-06
17.5	-6.19049e-06
17.6	-5.41775e-06
17.7	-4.74147e-06
17.8	-4.14961e-06
17.9	-3.63163e-06
18	-3.17831e-06
18.1	-2.78157e-06
18.2	-2.43435e-06
18.3	-2.13048e-06
18.4	-1.86454e-06
18.5	-1.6318e-06
18.6	-1.4281e-06
18.7	-1.24984e-06
18.8	-1.09383e-06
18.9	-9.57287e-07
19	-8.37792e-07
19.1	-7.33213e-07
19.2	-6.41689e-07
19.3	-5.61589e-07
19.4	-4.91488e-07
19.5	-4.30137e-07
19.6	-3.76444e-07
19.7	-3.29454e-07
19.8	-2.88329e-07
19.9	-2.52338e-07
