theta	dsigma
0	57.0523
0.0174533	57.0392
0.0349066	56.9999
0.0523599	56.9344
0.0698132	56.8429
0.0872665	56.7254
0.10472	56.582
0.122173	56.4129
0.139626	56.2182
0.15708	55.9981
0.174533	55.7529
0.191986	55.4827
0.20944	55.1879
0.226893	54.8688
0.244346	54.5256
0.261799	54.1587
0.279253	53.7685
0.296706	53.3553
0.314159	52.9196
0.331613	52.4618
0.349066	51.9823
0.366519	51.4817
0.383972	50.9603
0.401426	50.4187
0.418879	49.8575
0.436332	49.2772
0.453786	48.6783
0.471239	48.0615
0.488692	47.4273
0.506145	46.7764
0.523599	46.1093
0.541052	45.4268
0.558505	44.7296
0.575959	44.0181
0.593412	43.2933
0.610865	42.5557
0.628319	41.806
0.645772	41.0451
0.663225	40.2735
0.680678	39.4921
0.698132	38.7016
0.715585	37.9027
0.733038	37.0962
0.750492	36.2828
0.767945	35.4633
0.785398	34.6385
0.802851	33.8092
0.820305	32.9761
0.837758	32.1399
0.855211	31.3015
0.872665	30.4616
0.890118	29.621
0.907571	28.7805
0.925025	27.9407
0.942478	27.1026
0.959931	26.2667
0.977384	25.4339
0.994838	24.6049
1.01229	23.7805
1.02974	22.9613
1.0472	22.148
1.06465	21.3414
1.0821	20.5421
1.09956	19.7508
1.11701	18.9683
1.13446	18.1951
1.15192	17.4318
1.16937	16.6791
1.18682	15.9377
1.20428	15.208
1.22173	14.4908
1.23918	13.7864
1.25664	13.0955
1.27409	12.4186
1.29154	11.7562
1.309	11.1088
1.32645	10.4768
1.3439	9.86075
1.36136	9.26096
1.37881	8.67788
1.39626	8.11189
1.41372	7.56335
1.43117	7.03258
1.44862	6.51991
1.46608	6.02562
1.48353	5.54998
1.50098	5.09324
1.51844	4.65561
1.53589	4.23729
1.55334	3.83845
1.5708	3.45925
1.58825	3.0998
1.6057	2.76021
1.62316	2.44055
1.64061	2.14088
1.65806	1.86122
1.67552	1.60157
1.69297	1.36193
1.71042	1.14224
1.72788	0.94244
1.74533	0.762437
1.76278	0.602118
1.78024	0.461346
1.79769	0.339963
1.81514	0.237786
1.8326	0.154613
1.85005	0.0902174
1.8675	0.0443528
1.88496	0.0167514
1.90241	0.00712499
1.91986	0.0151653
1.93732	0.0405445
1.95477	0.0829154
1.97222	0.141912
1.98968	0.217152
2.00713	0.308233
2.02458	0.414737
2.04204	0.53623
2.05949	0.672262
2.07694	0.822367
2.0944	0.986067
2.11185	1.16287
2.1293	1.35226
2.14675	1.55374
2.16421	1.76676
2.18166	1.99078
2.19911	2.22526
2.21657	2.46963
2.23402	2.72333
2.25147	2.98577
2.26893	3.25638
2.28638	3.53457
2.30383	3.81973
2.32129	4.11127
2.33874	4.40859
2.35619	4.71107
2.37365	5.01811
2.3911	5.3291
2.40855	5.64342
2.42601	5.96047
2.44346	6.27964
2.46091	6.60031
2.47837	6.92188
2.49582	7.24376
2.51327	7.56534
2.53073	7.88602
2.54818	8.20523
2.56563	8.52239
2.58309	8.83691
2.60054	9.14824
2.61799	9.45582
2.63545	9.75911
2.6529	10.0576
2.67035	10.3507
2.68781	10.6379
2.70526	10.9188
2.72271	11.1928
2.74017	11.4594
2.75762	11.7183
2.77507	11.969
2.79253	12.2109
2.80998	12.4439
2.82743	12.6673
2.84489	12.8809
2.86234	13.0842
2.87979	13.277
2.89725	13.459
2.9147	13.6297
2.93215	13.789
2.94961	13.9365
2.96706	14.072
2.98451	14.1953
3.00197	14.3062
3.01942	14.4045
3.03687	14.49
3.05433	14.5626
3.07178	14.6222
3.08923	14.6686
3.10669	14.7018
3.12414	14.7218
3.14159	14.7284
