theta	dsigma
0	1.22776e+07
0.0174533	1.07398e+07
0.0349066	7.03757e+06
0.0523599	3.1758e+06
0.0698132	750675
0.0872665	15393.2
0.10472	173256
0.122173	353886
0.139626	263475
0.15708	85326.5
0.174533	23764.2
0.191986	65728
0.20944	91652.1
0.226893	57761.8
0.244346	13565.4
0.261799	2344.07
0.279253	10877.9
0.296706	10531.8
0.314159	1836.79
0.331613	2143.22
0.349066	12627.8
0.366519	18016.6
0.383972	11333.5
0.401426	2389.17
0.418879	1424.61
0.436332	5970.34
0.453786	7844.16
0.471239	5532.58
0.488692	3767.62
0.506145	4575.54
0.523599	4857.92
0.541052	2536.72
0.558505	359.997
0.575959	1798.91
0.593412	5780.63
0.610865	7863.15
0.628319	5823.41
0.645772	2100.53
0.663225	414.176
0.680678	1335.91
0.698132	2297.28
0.715585	1570.53
0.733038	779.308
0.750492	2467.09
0.767945	5895.72
0.785398	7156.23
0.802851	4259.42
0.820305	539.158
0.837758	950.265
0.855211	5410.13
0.872665	8345.18
0.890118	5857.77
0.907571	1154.87
0.925025	544.78
0.942478	5085.46
0.959931	9190.26
0.977384	8056.92
0.994838	3759.82
1.01229	2038.3
1.02974	4716.24
1.0472	7995.52
1.06465	7980.04
1.0821	5235.85
1.09956	2920.79
1.11701	2434.94
1.13446	2737.13
1.15192	2914.81
1.16937	3289.85
1.18682	3927.38
1.20428	3864.24
1.22173	2620.42
1.23918	1316.93
1.25664	1266.76
1.27409	2105.57
1.29154	2359.88
1.309	1555.76
1.32645	701.452
1.3439	645.326
1.36136	968.402
1.37881	914.31
1.39626	619.426
1.41372	722.978
1.43117	1198.38
1.44862	1358.54
1.46608	935.663
1.48353	457.025
1.50098	395.674
1.51844	516.685
1.53589	399.861
1.55334	212.711
1.5708	487.089
1.58825	1253.26
1.6057	1845.06
1.62316	1678.09
1.64061	950.576
1.65806	384.256
1.67552	378.328
1.69297	608.804
1.71042	519.313
1.72788	117.319
1.74533	103.42
1.76278	1050.67
1.78024	2519.36
1.79769	3302.15
1.81514	2749.04
1.8326	1608.65
1.85005	1175.5
1.8675	1689.3
1.88496	2083.55
1.90241	1478.32
1.91986	396.792
1.93732	14.1708
1.95477	512.548
1.97222	892.552
1.98968	492.202
2.00713	6.55018
2.02458	539.397
2.04204	2027.81
2.05949	3204.9
2.07694	3075.81
2.0944	1932.3
2.11185	797.887
2.1293	291.774
2.14675	291.065
2.16421	407.972
2.18166	422.047
2.19911	311.841
2.21657	163.696
2.23402	104.421
2.25147	167.376
2.26893	216.459
2.28638	131.815
2.30383	25.2228
2.32129	79.6987
2.33874	208.166
2.35619	156.845
2.37365	31.0863
2.3911	393.329
2.40855	1542.03
2.42601	2857.61
2.44346	3249.18
2.46091	2327.35
2.47837	885.499
2.49582	84.6362
2.51327	307.631
2.53073	939.063
2.54818	1153.76
2.56563	749.932
2.58309	214.866
2.60054	101.621
2.61799	443.708
2.63545	836.075
2.6529	1051.05
2.67035	1344.23
2.68781	1921.63
2.70526	2297.87
2.72271	1741.28
2.74017	518.93
2.75762	56.8616
2.77507	1232.58
2.79253	2912.87
2.80998	3157.93
2.82743	1888.03
2.84489	1191.43
2.86234	2387.36
2.87979	3891.48
2.89725	3313.46
2.9147	1088.46
2.93215	208.726
2.94961	2075.77
2.96706	4518.82
2.98451	5154.45
3.00197	5099.02
3.01942	7039.6
3.03687	10216.1
3.05433	10339
3.07178	5674.81
3.08923	715.656
3.10669	1151.7
3.12414	6229.35
3.14159	9252.71
