theta	dsigma
0	4331.37
0.0174533	4311.06
0.0349066	4251.08
0.0523599	4154.25
0.0698132	4025.04
0.0872665	3869.14
0.10472	3693.14
0.122173	3503.93
0.139626	3308.26
0.15708	3112.29
0.174533	2921.23
0.191986	2739.05
0.20944	2568.39
0.226893	2410.55
0.244346	2265.59
0.261799	2132.54
0.279253	2009.7
0.296706	1894.92
0.314159	1785.91
0.331613	1680.52
0.349066	1576.95
0.366519	1473.9
0.383972	1370.62
0.401426	1266.96
0.418879	1163.28
0.436332	1060.34
0.453786	959.204
0.471239	861.082
0.488692	767.205
0.506145	678.718
0.523599	596.603
0.541052	521.623
0.558505	454.302
0.575959	394.922
0.593412	343.544
0.610865	300.036
0.628319	264.102
0.645772	235.311
0.663225	213.128
0.680678	196.926
0.698132	186.008
0.715585	179.62
0.733038	176.959
0.750492	177.19
0.767945	179.467
0.785398	182.952
0.802851	186.843
0.820305	190.4
0.837758	192.975
0.855211	194.033
0.872665	193.176
0.890118	190.149
0.907571	184.849
0.925025	177.311
0.942478	167.703
0.959931	156.301
0.977384	143.463
0.994838	129.607
1.01229	115.178
1.02974	100.628
1.0472	86.3938
1.06465	72.8768
1.0821	60.4353
1.09956	49.375
1.11701	39.9454
1.13446	32.3408
1.15192	26.7017
1.16937	23.1196
1.18682	21.6412
1.20428	22.2736
1.22173	24.9885
1.23918	29.7263
1.25664	36.3991
1.27409	44.8931
1.29154	55.0694
1.309	66.7655
1.32645	79.7952
1.3439	93.9485
1.36136	108.993
1.37881	124.672
1.39626	140.711
1.41372	156.814
1.43117	172.674
1.44862	187.974
1.46608	202.394
1.48353	215.624
1.50098	227.367
1.51844	237.35
1.53589	245.338
1.55334	251.135
1.5708	254.599
1.58825	255.642
1.6057	254.236
1.62316	250.417
1.64061	244.281
1.65806	235.982
1.67552	225.728
1.69297	213.772
1.71042	200.41
1.72788	185.966
1.74533	170.787
1.76278	155.234
1.78024	139.671
1.79769	124.46
1.81514	109.95
1.8326	96.476
1.85005	84.3459
1.8675	73.8404
1.88496	65.2069
1.90241	58.6548
1.91986	54.3526
1.93732	52.4241
1.95477	52.9455
1.97222	55.9426
1.98968	61.3887
2.00713	69.2027
2.02458	79.2484
2.04204	91.3346
2.05949	105.217
2.07694	120.599
2.0944	137.141
2.11185	154.462
2.1293	172.149
2.14675	189.769
2.16421	206.877
2.18166	223.031
2.19911	237.8
2.21657	250.783
2.23402	261.612
2.25147	269.974
2.26893	275.611
2.28638	278.331
2.30383	278.017
2.32129	274.627
2.33874	268.197
2.35619	258.84
2.37365	246.746
2.3911	232.177
2.40855	215.46
2.42601	196.985
2.44346	177.194
2.46091	156.576
2.47837	135.657
2.49582	114.992
2.51327	95.1561
2.53073	76.7355
2.54818	60.3186
2.56563	46.4862
2.58309	35.8019
2.60054	28.8026
2.61799	25.9883
2.63545	27.8121
2.6529	34.6695
2.67035	46.8892
2.68781	64.7224
2.70526	88.3343
2.72271	117.796
2.74017	153.078
2.75762	194.045
2.77507	240.455
2.79253	291.959
2.80998	348.102
2.82743	408.333
2.84489	472.01
2.86234	538.41
2.87979	606.748
2.89725	676.187
2.9147	745.852
2.93215	814.852
2.94961	882.292
2.96706	947.292
2.98451	1009
3.00197	1066.6
3.01942	1119.33
3.03687	1166.52
3.05433	1207.53
3.07178	1241.84
3.08923	1268.99
3.10669	1288.64
3.12414	1300.53
3.14159	1304.52
