lp	sigma
1	3.83926
2	1.48409
3	223.9
4	201.601
5	18.422
6	32.4959
7	38.5111
8	79.7732
9	379.635
10	1475.52
11	2329.28
12	3181.47
13	3364.52
14	3029.07
15	2631.44
16	2282.84
17	2066.34
18	2101.14
19	2575.75
20	3692.84
21	5465.52
22	7579.34
23	8644.15
24	8758.85
25	8755.44
26	8765.77
27	8790.88
28	8823.92
29	8859.12
30	8892.81
31	8926.99
32	8962.65
33	8995.88
34	9024.79
35	9052.4
36	9080.93
37	9107.34
38	9126.48
39	9136.9
40	9141.17
41	9142.49
42	9142.81
43	9142.87
44	9142.88
45	9142.88
46	9142.88
47	9142.88
48	9142.88
49	9142.88
50	9142.88
