theta	dsigma
0	0.000475519
0.0174533	0.0425216
0.0349066	0.0586463
0.0523599	0.389512
0.0698132	0.402918
0.0872665	1.90946
0.10472	2.07141
0.122173	0.000475519
0.139626	0.0425089
0.15708	0.0586215
0.174533	0.389
0.191986	0.402378
0.20944	1.90357
0.226893	2.06469
0.244346	0.000475519
0.261799	0.0424709
0.279253	0.0585473
0.296706	0.387466
0.314159	0.400764
0.331613	1.88601
0.349066	2.04463
0.366519	0.000475519
0.383972	0.0424076
0.401426	0.0584237
0.418879	0.384922
0.436332	0.398085
0.453786	1.85703
0.471239	2.01156
0.488692	0.000475519
0.506145	0.042319
0.523599	0.0582512
0.541052	0.381382
0.558505	0.394359
0.575959	1.81707
0.593412	1.966
0.610865	0.000475519
0.628319	0.0422053
0.645772	0.0580299
0.663225	0.37687
0.680678	0.389611
0.698132	1.76673
0.715585	1.90868
0.733038	0.000475519
0.750492	0.0420666
0.767945	0.0577606
0.785398	0.371415
0.802851	0.383872
0.820305	1.70675
0.837758	1.84051
0.855211	0.000475519
0.872665	0.0419032
0.890118	0.0574436
0.907571	0.365051
0.925025	0.377179
0.942478	1.63801
0.959931	1.76255
0.977384	0.000475519
0.994838	0.0417151
1.01229	0.0570799
1.02974	0.357819
1.0472	0.369575
1.06465	1.56151
1.0821	1.67601
1.09956	0.000475519
1.11701	0.0415026
1.13446	0.0566701
1.15192	0.349764
1.16937	0.361109
1.18682	1.47834
1.20428	1.58219
1.22173	0.000475519
1.23918	0.041266
1.25664	0.0562152
1.27409	0.340937
1.29154	0.351836
1.309	1.38967
1.32645	1.48249
1.3439	0.000475519
1.36136	0.0410055
1.37881	0.0557161
1.39626	0.331392
1.41372	0.341814
1.43117	1.29672
1.44862	1.37835
1.46608	0.000475519
1.48353	0.0407215
1.50098	0.055174
1.51844	0.321189
1.53589	0.331106
1.55334	1.20073
1.5708	1.27124
1.58825	0.000475519
1.6057	0.0404143
1.62316	0.0545901
1.64061	0.310391
1.65806	0.319778
1.67552	1.10296
1.69297	1.16262
1.71042	0.000475519
1.72788	0.0400843
1.74533	0.0539656
1.76278	0.299061
1.78024	0.3079
1.79769	1.00463
1.81514	1.05393
1.8326	0.000475519
1.85005	0.0397319
1.8675	0.0533019
1.88496	0.287268
1.90241	0.295544
1.91986	0.906948
1.93732	0.946505
1.95477	0.000475519
1.97222	0.0393575
1.98968	0.0526004
2.00713	0.275083
2.02458	0.282783
2.04204	0.81103
2.05949	0.841637
2.07694	0.000475519
2.0944	0.0389615
2.11185	0.0518625
2.1293	0.262574
2.14675	0.269692
2.16421	0.717927
2.18166	0.740485
2.19911	0.000475519
2.21657	0.0385445
2.23402	0.05109
2.25147	0.249815
2.26893	0.256347
2.28638	0.628587
2.30383	0.644082
2.32129	0.000475519
2.33874	0.0381069
2.35619	0.0502844
2.37365	0.236877
2.3911	0.242823
2.40855	0.543848
2.42601	0.553318
2.44346	0.000475519
2.46091	0.0376493
2.47837	0.0494473
2.49582	0.223831
2.51327	0.229195
2.53073	0.464422
2.54818	0.468925
2.56563	0.000475519
2.58309	0.0371723
2.60054	0.0485806
2.61799	0.210748
2.63545	0.215535
2.6529	0.39089
2.67035	0.391476
2.68781	0.000475519
2.70526	0.0366763
2.72271	0.047686
2.74017	0.197695
2.75762	0.201915
2.77507	0.323696
2.79253	0.321374
2.80998	0.000475519
2.82743	0.036162
2.84489	0.0467654
2.86234	0.184741
2.87979	0.188405
2.89725	0.263144
2.9147	0.25886
2.93215	0.000475519
2.94961	0.0356301
2.96706	0.0458205
2.98451	0.171949
3.00197	0.175071
3.01942	0.209402
3.03687	0.204015
3.05433	0.000475519
3.07178	0.0350811
3.08923	0.0448533
3.10669	0.15938
3.12414	0.161975
3.14159	0.162504
