theta	dsigma
0	9.50369e+06
0.0174533	8.32348e+06
0.0349066	5.49299e+06
0.0523599	2.55404e+06
0.0698132	694285
0.0872665	66136.5
0.10472	79056.2
0.122173	144356
0.139626	87571.6
0.15708	13485.5
0.174533	3774.94
0.191986	23411
0.20944	21467.4
0.226893	4947.8
0.244346	2035.52
0.261799	11107.1
0.279253	12724.5
0.296706	4762.59
0.314159	800.578
0.331613	4903.08
0.349066	7696.22
0.366519	4292.42
0.383972	979.14
0.401426	2798.07
0.418879	5639.69
0.436332	4438.32
0.453786	1470.72
0.471239	1598.7
0.488692	4152.49
0.506145	4743.89
0.523599	2633.53
0.541052	1431.89
0.558505	3077.76
0.575959	5127.76
0.593412	4789.73
0.610865	2866.58
0.628319	2263.87
0.645772	4048.95
0.663225	6356.66
0.680678	6756.52
0.698132	4954.91
0.715585	3198.52
0.733038	4018.29
0.750492	7265.8
0.767945	9717.91
0.785398	8486.19
0.802851	4706.2
0.820305	2619.77
0.837758	4573.57
0.855211	8117.93
0.872665	9002.42
0.890118	6176.36
0.907571	2523.34
0.925025	1026.95
0.942478	1690.89
0.959931	2531.32
0.977384	2316.1
0.994838	1427.92
1.01229	691.565
1.02974	376.78
1.0472	321.853
1.06465	338.226
1.0821	292.269
1.09956	143.222
1.11701	42.0769
1.13446	175.531
1.15192	454.731
1.16937	569.036
1.18682	397.183
1.20428	153.693
1.22173	57.3889
1.23918	65.3786
1.25664	52.5081
1.27409	62.8689
1.29154	196.452
1.309	360.332
1.32645	349.757
1.3439	164.733
1.36136	58.5486
1.37881	204.185
1.39626	437.128
1.41372	448.553
1.43117	200.678
1.44862	24.6643
1.46608	231.835
1.48353	685.796
1.50098	903.305
1.51844	643.741
1.53589	270.153
1.55334	340.942
1.5708	870.099
1.58825	1235.58
1.6057	947.023
1.62316	309.565
1.64061	79.0318
1.65806	523.725
1.67552	1105.63
1.69297	1162.48
1.71042	674.037
1.72788	183.356
1.74533	104.223
1.76278	331.374
1.78024	507.98
1.79769	462.403
1.81514	294.861
1.8326	162.941
1.85005	112.032
1.8675	93.9938
1.88496	64.1807
1.90241	33.4037
1.91986	47.2605
1.93732	123.525
1.95477	211.61
1.97222	232.166
1.98968	164.57
2.00713	71.9867
2.02458	25.582
2.04204	29.7787
2.05949	46.3775
2.07694	66.8321
2.0944	116.241
2.11185	187.682
2.1293	220.491
2.14675	174.812
2.16421	104.824
2.18166	111.596
2.19911	209.921
2.21657	281.972
2.23402	213.092
2.25147	63.763
2.26893	31.5023
2.28638	196.496
2.30383	372.606
2.32129	319.503
2.33874	91.4122
2.35619	32.1064
2.37365	341.309
2.3911	755.539
2.40855	817.498
2.42601	443.818
2.44346	59.1464
2.46091	97.8058
2.47837	494.653
2.49582	790.639
2.51327	682.249
2.53073	324.758
2.54818	82.8109
2.56563	110.895
2.58309	257.518
2.60054	309.854
2.61799	222.952
2.63545	101.535
2.6529	38.2231
2.67035	28.885
2.68781	30.0975
2.70526	44.4661
2.72271	113.556
2.74017	235.791
2.75762	331.404
2.77507	318.491
2.79253	211.652
2.80998	111.246
2.82743	92.3344
2.84489	143.766
2.86234	240.062
2.87979	426.9
2.89725	752.842
2.9147	1095.34
2.93215	1150.67
2.94961	743.761
2.96706	187.87
2.98451	172.274
3.00197	1049.85
3.01942	2206.27
3.03687	2445.63
3.05433	1360.33
3.07178	274.094
3.08923	1334.87
3.10669	5235.91
3.12414	9923.54
3.14159	12033.3
